,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category,Level I,Level II,Level III,Level IV
2011,Battery Park City,40.71193198,-74.01686931,West Street Wine & Spirits,40.70838013028831,-74.0150575145218,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2012,Financial District,40.70710711,-74.01066545,Simply Wine,40.708751,-74.009614,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2013,Financial District,40.70710711,-74.01066545,Pure Liquid Wine & Spirits,40.71008275157545,-74.01179142589295,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2014,Carnegie Hill,40.78268257,-73.95325647,Mister Wright Fine Wine & Spirits,40.78102895851267,-73.9522599084713,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2015,Carnegie Hill,40.78268257,-73.95325647,Vinyl Wine,40.78612866457851,-73.95077052391332,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2016,Carnegie Hill,40.78268257,-73.95325647,K&D Wines & Spirits,40.787095671313054,-73.95426103745547,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2017,Noho,40.72325902,-73.98843368,Urban Wines NYC,40.724277609067,-73.98763034113799,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2018,Noho,40.72325902,-73.98843368,September Wines & Spirits,40.72130205732587,-73.98782863767224,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2019,Civic Center,40.71522892,-74.0054153,Chambers Street Wines,40.71577306392837,-74.00971823312331,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2020,Sutton Place,40.76028033,-73.96355614,Crush Wine & Spirits,40.760557805429,-73.96824586167922,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2021,Sutton Place,40.76028033,-73.96355614,Ambassador Wines & Spirits,40.7572807390202,-73.96683749745407,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2022,Tudor City,40.74691741,-73.97121929,The Bottlenose Wine Co.,40.7472214268998,-73.97418453445717,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2023,Tudor City,40.74691741,-73.97121929,House of Wine and Liquor,40.74492746966366,-73.97621999903141,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2024,Flatiron,40.73967305,-73.99094711,Flatiron Wines & Spirits - Manhattan,40.74037409981571,-73.98948531025626,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2025,Flatiron,40.73967305,-73.99094711,Gramercy Wine and Spirits,40.74012347894061,-73.98610609112558,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2026,Flatiron,40.73967305,-73.99094711,Italian Wine Merchants,40.7357381316821,-73.98885840547041,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2027,Hudson Yards,40.75665808,-74.00011136,Odyssey Wine & Spirits,40.75691333878635,-73.99756465578261,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2028,JC07310,40.731901,-74.0402,Super Buy Rite Wines & Liquor,40.731109338293,-74.04137364906902,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2029,Washington Heights,40.85190253,-73.93690028,Qmart,40.851999159435756,-73.93491489398066,Market,Shop & Service,Market,Market,Market
2030,Central Harlem,40.81597607,-73.94321113,Foodtown of Frederick Douglass Blvd,40.81467550708393,-73.94815630569936,Market,Shop & Service,Market,Market,Market
